Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Body Type,Position,Height,Weight
27,Portugal,60,71,Manchester United,94945966,216612,Right,3,3.0,2,Stocky,Middle,179,69
30,Argentina,72,69,Sevilla FC,109997274,228284,Left,3,3.0,3,Stocky,Back,172,69
31,Belgium,64,69,Manchester City,71177809,201220,Right,2,5.0,3,Stocky,Middle,181,70
25,Italy,68,63,Inter,120524289,302959,Right,3,3.0,2,Normal,Middle,172,68
27,Germany,64,64,FC Bayern München,84570513,275595,Right,3,4.0,3,Normal,Middle,177,75
30,Austria,62,70,Real Madrid CF,82192952,221023,Left,3,4.0,3,Normal,Back,180,78
32,Brazil,65,68,Al Ahli,87861782,251698,Right,3,4.0,3,Normal,Middle,183,80
28,Portugal,75,78,Manchester City,124724855,319817,Right,4,4.0,4,Stocky,Back,182,74
26,Italy,65,77,Roma,107788980,285635,Right,4,4.0,4,Lean,Middle,186,77
36,Croatia,61,70,Real Madrid CF,88267330,248413,Right,3,4.0,3,Lean,Middle,172,66
27,Serbia,76,82,Lazio,124236245,251184,Right,4,5.0,4,Normal,Middle,191,76
26,Spain,68,73,Real Sociedad,126822085,293834,Left,3,3.0,3,Normal,Middle,189,83
27,Spain,70,76,Atlético de Madrid,104772115,216350,Right,4,4.0,4,Lean,Middle,184,74
25,Netherlands,66,67,FC Barcelona,101227997,264451,Right,3,3.0,3,Stocky,Middle,180,74
31,France,77,82,Atlético de Madrid,139587984,255133,Left,3,3.0,4,Stocky,Forward,176,73
34,Colombia,64,70,Juventus,114496169,278631,Right,4,3.0,3,Lean,Back,179,72
29,Serbia,74,73,Eintracht Frankfurt,132185000,340631,Left,3,2.0,4,Normal,Middle,184,84
23,England,76,76,Liverpool,120044869,250450,Right,3,4.0,3,Stocky,Back,180,69
35,Uruguay,64,70,Club Nacional de Football,50426333,168344,Right,3,4.0,3,Stocky,Forward,182,86
23,Morocco,67,60,Paris Saint-Germain,104013442,275647,Right,2,4.0,3,Lean,Back,181,73
29,Croatia,79,69,Inter,126657762,233291,Right,3,4.0,3,Lean,Middle,181,68
30,Egypt,62,73,Liverpool,129064152,263479,Left,3,3.0,1,Stocky,Back,175,71
22,Italy,74,78,AC Milan,149562578,330457,Right,4,4.0,4,Stocky,Middle,181,79
31,Spain,68,60,Liverpool,80426861,213536,Right,3,3.0,3,Normal,Middle,174,70
22,England,60,69,Chelsea,119033669,278579,Right,4,3.0,3,Stocky,Back,178,87
33,Spain,75,74,FC Barcelona,153769859,339340,Left,2,3.0,3,Stocky,Back,170,68
31,Spain,65,66,Real Betis Balompié,79461086,225714,Left,3,3.0,3,Lean,Middle,176,65
24,Algeria,70,83,AC Milan,106220911,211384,Left,3,3.0,4,Lean,Middle,175,70
29,Ukraine,70,69,Atalanta,112988501,310938,Left,3,4.0,3,Stocky,Forward,181,79
23,United States,65,61,Juventus,83448114,318183,Right,3,3.0,3,Normal,Middle,183,84
30,Brazil,64,65,Real Madrid CF,70268890,128236,Right,3,3.0,2,Stocky,Middle,185,84
25,Spain,68,72,TSG Hoffenheim,81174334,238023,Left,3,3.0,3,Normal,Back,171,69
28,France,64,71,Aston Villa,94441704,195795,Left,4,2.0,4,Stocky,Back,178,74
33,Poland,74,71,FC Barcelona,136624595,322763,Right,3,4.0,4,Stocky,Forward,185,81
25,Uruguay,64,73,River Plate,126260737,281016,Right,4,4.0,3,Normal,Middle,167,65
32,England,69,70,Manchester City,110151316,296742,Right,3,2.0,4,Stocky,Back,183,83
24,France,54,55,AC Milan,42617669,171279,Left,3,3.0,3,Stocky,Back,184,81
28,France,66,62,Stade Rennais FC,91240851,253973,Right,4,3.0,4,Lean,Back,178,68
27,Germany,75,72,Inter,132604949,235094,Left,4,3.0,4,Normal,Middle,183,76
31,Netherlands,59,80,Roma,60197832,71994,Right,2,4.0,2,Stocky,Middle,175,74
27,France,71,67,Olympique Lyonnais,123183309,350952,Right,3,3.0,3,Normal,Middle,181,81
28,England,70,67,Tottenham Hotspur,94526540,240677,Right,3,5.0,4,Stocky,Forward,188,89
30,Spain,70,74,Atlético de Madrid,104325996,230953,Right,3,4.0,2,Normal,Middle,176,77
30,England,68,74,Rangers FC,84358807,252108,Right,3,3.0,3,Lean,Back,182,75
32,England,59,68,Liverpool,60173960,207548,Right,2,3.0,3,Normal,Middle,182,80
35,Argentina,77,68,Paris Saint-Germain,106116266,192125,Left,3,4.0,2,Stocky,Back,169,67
29,Italy,67,70,Paris Saint-Germain,96291649,239811,Right,3,4.0,3,Stocky,Middle,165,60
31,Colombia,74,72,FC Porto,72331494,109047,Right,2,4.0,3,Normal,Middle,183,77
30,Senegal,73,75,FC Bayern München,163930204,409534,Right,3,4.0,4,Stocky,Forward,174,69
24,Brazil,72,80,Olympique Lyonnais,94961166,220735,Left,3,4.0,3,Normal,Middle,180,72
28,Spain,62,67,RCD Espanyol de Barcelona,97789222,260067,Right,2,3.0,2,Lean,Middle,180,71
25,Belgium,71,71,Leicester City,113683250,280359,Right,2,5.0,3,Normal,Middle,176,72
29,Brazil,66,59,Manchester United,95433961,256777,Left,3,3.0,2,Lean,Middle,169,62
27,Portugal,76,73,Manchester City,155065312,303956,Left,3,3.0,3,Lean,Middle,173,64
26,Spain,71,80,SL Benfica,96702464,208839,Left,3,2.0,3,Lean,Back,172,67
25,Spain,69,85,Valencia CF,178156793,337690,Right,3,4.0,4,Normal,Middle,180,76
19,England,64,81,Borussia Dortmund,103319099,241010,Right,4,4.0,3,Lean,Middle,186,75
29,Central African Republic,67,72,Atlético de Madrid,128265784,331472,Left,3,3.0,3,Lean,Middle,188,80
31,England,68,79,Newcastle United,134601651,268834,Right,3,4.0,3,Normal,Back,173,71
23,France,62,71,Paris Saint-Germain,96115991,306391,Right,3,4.0,4,Stocky,Forward,182,73
22,Nigeria,63,73,AFC Richmond,99293287,332252,Right,3,3.0,2,Lean,Middle,185,77
32,Spain,80,73,Athletic Club de Bilbao,115005462,273602,Left,2,3.0,3,Normal,Back,181,80
29,Mexico,77,83,Sevilla FC,125286370,263300,Right,3,5.0,4,Normal,Back,173,66
25,Argentina,72,76,Unión Deportiva Almería,75726463,142514,Right,3,4.0,4,Normal,Middle,175,70
28,Turkey,65,69,Inter,102597606,241403,Right,3,4.0,3,Normal,Middle,178,76
25,Portugal,68,72,Wolverhampton Wanderers,119788215,296367,Right,3,4.0,3,Normal,Middle,180,80
34,Argentina,65,66,Rayo Vallecano,105340914,215084,Right,4,4.0,4,Normal,Middle,180,79
28,Germany,65,79,Bayer 04 Leverkusen,111963651,314631,Left,3,4.0,3,Normal,Middle,183,71
28,Portugal,63,65,Borussia Dortmund,118081347,291999,Left,3,2.0,4,Normal,Back,170,71
21,Canada,75,74,FC Bayern München,133236364,272885,Left,4,4.0,2,Stocky,Back,185,77
24,Netherlands,68,74,Atalanta,132264021,335387,Left,3,2.0,4,Normal,Middle,183,77
36,Spain,74,77,Sevilla FC,111285791,224726,Right,3,2.0,3,Lean,Back,172,60
28,Portugal,59,69,Leicester City,96249314,293932,Right,3,4.0,4,Stocky,Back,175,70
28,Brazil,60,75,Liverpool,66552428,245177,Right,2,2.0,3,Stocky,Middle,188,78
24,Argentina,68,69,Inter,113552007,301199,Right,3,4.0,3,Stocky,Forward,174,72
33,Spain,73,66,Villarreal CF,83943978,197508,Right,3,4.0,4,Normal,Middle,182,74
29,Italy,61,67,Fiorentina,125359057,365027,Left,3,3.0,3,Normal,Back,185,78
37,Portugal,66,74,Manchester United,127318975,286514,Right,3,4.0,3,Stocky,Forward,187,83
27,France,56,71,Real Madrid CF,107209869,318733,Left,4,5.0,3,Stocky,Back,180,73
30,Brazil,70,72,Paris Saint-Germain,96164152,227672,Right,4,5.0,3,Stocky,Back,175,68
32,Wales,64,68,Los Angeles FC,72271429,214819,Left,3,3.0,3,Stocky,Forward,185,82
27,Germany,72,85,Bayer 04 Leverkusen,124500761,308761,Right,3,4.0,5,Normal,Middle,187,83
25,Austria,70,89,RB Leipzig,95146047,187706,Right,3,3.0,5,Lean,Middle,180,72
33,Germany,66,76,Borussia Dortmund,106340683,253149,Right,4,4.0,4,Stocky,Middle,180,71
28,Germany,65,69,VfL Wolfsburg,81864011,285358,Left,2,2.0,3,Normal,Middle,184,74
31,France,73,79,Chelsea,145063534,311432,Right,2,3.0,3,Stocky,Middle,168,70
28,Scotland,63,67,Liverpool,83472965,167307,Left,3,2.0,2,Stocky,Back,178,64
